Name,Address,Phone
Bardi's Steak House,"56 York Street, Toronto, ON M5J 1S8",Phone number not available
9 Mile Jamaican and International Cuisine,"545 Keele St, Toronto, ON M6N 3E4",Phone number not available
Queen's Pasta Cafe,"2263 Bloor St W, Toronto, ON M6S 1N8",Phone number not available
Kalyvia Restaurant,"420 Danforth Ave, Toronto, ON M4K 1P3",Phone number not available
Mezza Notte Trattoria,"3169 Dufferin St, North York, ON M6A 2S9",Phone number not available
Dim Sum King,"421 Dundas St W, Toronto, ON M5T 2W4",Phone number not available
Bardi's Steak House,"56 York Street, Toronto, ON M5J 1S8",Phone number not available
Kingyo Izakaya,"51 Winchester St, Toronto, ON M4X 1A8",Phone number not available
Taverna Mercatto,"120 Bremner, Toronto, ON M5J 3A6",Phone number not available
Woods Restaurant,"47 Colborne St, Toronto, ON M5E 1P8",Phone number not available
Halibut House,"103-2151 St Clair Ave W, Toronto, ON M6N 1K5",Phone number not available
By The Way,"400 Bloor St W, Toronto, ON M5S 1X5",Phone number not available
Via Norte Restaurant,"938 College St, Toronto, ON M6H 1A4",Phone number not available
Rose And Sons,"176 Dupont St, Toronto, ON M5R 2E6",Phone number not available
Carens Rosedale,"1118 Yonge St, Toronto, ON M4W 2L6",Phone number not available
Soos,"94 Ossington Ave, Toronto, ON M6J 2Z4",Phone number not available
Gusto 101,"101 Portland St, Toronto, ON M5V 2N3",Phone number not available
Mr. Greek,"333 Bremner Blvd, Toronto, ON M5V 3V3",Phone number not available
BnB,"123 Queen Street West, Toronto, ON M5H 2M9",Phone number not available
Jabistro,"222 Richmond St W, Toronto, ON M5V 1V6",Phone number not available
Barrio Coreano,"642 Bloor St W, Toronto, ON M6G 1K9",Phone number not available
Arisu,"584 Bloor St W, Toronto, ON M6G 1K4",Phone number not available
Budapest Restaurant,"2183 Danforth Ave, Toronto, ON M4C 1K4",Phone number not available
The Kennedy Public House,"2199 Bloor St W, Toronto, ON M6S 1N2",Phone number not available
The Burger Cellar,"3391 Yonge St, North York, ON M4N 2M8",Phone number not available
Athens Restaurant,"707 Danforth, Toronto, ON M1K 1G4",Phone number not available
Sip Wine Bar,"2 Broadway Ave, Toronto, ON M4P 1T4",Phone number not available
Butchers Of Distinction,"738 Queen St E, Toronto, ON M4M 1H2",Phone number not available
Brownes Bistro,"101-1251 Yonge St, Toronto, ON M4T 1W6",Phone number not available
Sake Izakaya,"257 Eglinton Ave W, Main, Toronto, ON M4R 1B1",Phone number not available
The Peasant Table,"782, Queen St E, Toronto, ON M4M 1H4",Phone number not available
Farmhouse Tavern,"1627 Dupont St, Toronto, ON M6P 3S8",Phone number not available
Junction Local,"3076 Dundas St W, Toronto, ON M6P 1Z8",Phone number not available
Oretta,"633 King St W, Toronto, ON M5V 1M5",Phone number not available
Cano Restaurant,"1108A St Clair Ave W, Toronto, ON M6E 1A7",Phone number not available
